Omega,K,proportion_fixed_point_locked
0.27450980392156865,0.4927988476219283,0.0
0.29411764705882354,0.4927988476219283,0.0
0.3137254901960784,0.4927988476219283,0.0
0.3333333333333333,0.4927988476219283,0.0
0.3529411764705882,0.4927988476219283,0.0
0.37254901960784315,0.4927988476219283,0.0
0.39215686274509803,0.4927988476219283,0.0
0.4117647058823529,0.4927988476219283,0.0
0.43137254901960786,0.4927988476219283,0.0
0.45098039215686275,0.4927988476219283,0.0
0.47058823529411764,0.4927988476219283,0.0
0.49019607843137253,0.4927988476219283,0.0
0.5098039215686274,0.4927988476219283,0.0
0.5294117647058824,0.4927988476219283,0.0
0.5490196078431373,0.4927988476219283,0.0
0.5686274509803921,0.4927988476219283,0.0
0.5882352941176471,0.4927988476219283,0.0
0.6078431372549019,0.4927988476219283,0.0
0.6274509803921569,0.4927988476219283,0.0
0.6470588235294118,0.4927988476219283,0.0
0.6666666666666666,0.4927988476219283,0.0
0.6862745098039216,0.4927988476219283,0.0
0.7058823529411764,0.4927988476219283,0.0
0.7254901960784313,0.4927988476219283,0.0
0.7450980392156863,0.4927988476219283,0.0
0.7647058823529411,0.4927988476219283,0.0
0.7843137254901961,0.4927988476219283,0.0
0.803921568627451,0.4927988476219283,0.0
0.8235294117647058,0.4927988476219283,0.0
0.8431372549019608,0.4927988476219283,0.0
0.8627450980392157,0.4927988476219283,0.0
0.8823529411764706,0.4927988476219283,0.0
0.9019607843137255,0.4927988476219283,0.0
0.9215686274509803,0.4927988476219283,0.001142857142857143
0.9411764705882353,0.4927988476219283,0.20971428571428571
0.9607843137254902,0.4927988476219283,0.904
0.9803921568627451,0.4927988476219283,0.9685714285714285
1.0,0.4927988476219283,0.9805714285714285
0.0,0.7391982714328925,1.0
0.0196078431372549,0.7391982714328925,1.0
0.0392156862745098,0.7391982714328925,1.0
0.058823529411764705,0.7391982714328925,1.0
0.0784313725490196,0.7391982714328925,0.9948571428571429
0.09803921568627451,0.7391982714328925,0.9142857142857143
0.11764705882352941,0.7391982714328925,0.0005714285714285715
0.13725490196078433,0.7391982714328925,0.0
0.1568627450980392,0.7391982714328925,0.0
0.1764705882352941,0.7391982714328925,0.0
0.19607843137254902,0.7391982714328925,0.0
0.21568627450980393,0.7391982714328925,0.0
0.23529411764705882,0.7391982714328925,0.0
0.2549019607843137,0.7391982714328925,0.0
0.27450980392156865,0.7391982714328925,0.0
0.29411764705882354,0.7391982714328925,0.0
0.3137254901960784,0.7391982714328925,0.0
0.3333333333333333,0.7391982714328925,0.0
0.3529411764705882,0.7391982714328925,0.0
0.37254901960784315,0.7391982714328925,0.0
0.39215686274509803,0.7391982714328925,0.0
0.4117647058823529,0.7391982714328925,0.0
0.43137254901960786,0.7391982714328925,0.0
0.45098039215686275,0.7391982714328925,0.0
0.47058823529411764,0.7391982714328925,0.0
0.49019607843137253,0.7391982714328925,0.0
0.5098039215686274,0.7391982714328925,0.0
0.5294117647058824,0.7391982714328925,0.0
0.5490196078431373,0.7391982714328925,0.0
0.5686274509803921,0.7391982714328925,0.0
0.5882352941176471,0.7391982714328925,0.0
0.6078431372549019,0.7391982714328925,0.0
0.6274509803921569,0.7391982714328925,0.0
0.6470588235294118,0.7391982714328925,0.0
0.6666666666666666,0.7391982714328925,0.0
0.6862745098039216,0.7391982714328925,0.0
0.7058823529411764,0.7391982714328925,0.0
0.7254901960784313,0.7391982714328925,0.0
0.7450980392156863,0.7391982714328925,0.0
0.7647058823529411,0.7391982714328925,0.0
0.7843137254901961,0.7391982714328925,0.0
0.803921568627451,0.7391982714328925,0.0
0.8235294117647058,0.7391982714328925,0.0
0.8431372549019608,0.7391982714328925,0.0
0.8627450980392157,0.7391982714328925,0.0
0.8823529411764706,0.7391982714328925,0.001142857142857143
0.9019607843137255,0.7391982714328925,0.9302857142857143
0.9215686274509803,0.7391982714328925,0.9948571428571429
0.9411764705882353,0.7391982714328925,0.9988571428571429
0.9607843137254902,0.7391982714328925,1.0
0.9803921568627451,0.7391982714328925,1.0
1.0,0.7391982714328925,1.0
0.0,0.9855976952438567,1.0
0.0196078431372549,0.9855976952438567,1.0
0.0392156862745098,0.9855976952438567,1.0
0.058823529411764705,0.9855976952438567,1.0
0.0784313725490196,0.9855976952438567,1.0
0.09803921568627451,0.9855976952438567,1.0
0.11764705882352941,0.9855976952438567,1.0
0.13725490196078433,0.9855976952438567,0.9828571428571429
0.1568627450980392,0.9855976952438567,0.0005714285714285715
0.1764705882352941,0.9855976952438567,0.0
0.19607843137254902,0.9855976952438567,0.0
0.21568627450980393,0.9855976952438567,0.0
0.23529411764705882,0.9855976952438567,0.0
0.2549019607843137,0.9855976952438567,0.0
0.27450980392156865,0.9855976952438567,0.0
0.29411764705882354,0.9855976952438567,0.0
0.3137254901960784,0.9855976952438567,0.0
0.3333333333333333,0.9855976952438567,0.0
0.3529411764705882,0.9855976952438567,0.0
0.37254901960784315,0.9855976952438567,0.0
0.39215686274509803,0.9855976952438567,0.0
0.4117647058823529,0.9855976952438567,0.0
0.43137254901960786,0.9855976952438567,0.0
0.45098039215686275,0.9855976952438567,0.0
0.47058823529411764,0.9855976952438567,0.0
0.49019607843137253,0.9855976952438567,0.0
0.5098039215686274,0.9855976952438567,0.0
0.5294117647058824,0.9855976952438567,0.0
0.5490196078431373,0.9855976952438567,0.0
0.5686274509803921,0.9855976952438567,0.0
0.5882352941176471,0.9855976952438567,0.0
0.6078431372549019,0.9855976952438567,0.0
0.6274509803921569,0.9855976952438567,0.0
0.6470588235294118,0.9855976952438567,0.0
0.6666666666666666,0.9855976952438567,0.0
0.6862745098039216,0.9855976952438567,0.0
0.7058823529411764,0.9855976952438567,0.0
0.7254901960784313,0.9855976952438567,0.0
0.7450980392156863,0.9855976952438567,0.0
0.7647058823529411,0.9855976952438567,0.0
0.7843137254901961,0.9855976952438567,0.0
0.803921568627451,0.9855976952438567,0.0
0.8235294117647058,0.9855976952438567,0.0
0.8431372549019608,0.9855976952438567,0.001142857142857143
0.8627450980392157,0.9855976952438567,0.992
