Omega,K,radiation_locking,uniform_baseline_locking,locking_excess
0.0,0.0,1.0,1.0,0.0
0.023255813953488372,0.0,0.0,0.0,0.0
0.046511627906976744,0.0,0.0,0.0,0.0
0.06976744186046512,0.0,0.0,0.0,0.0
0.09302325581395349,0.0,0.0,0.0,0.0
0.11627906976744186,0.0,0.0,0.0,0.0
0.13953488372093023,0.0,0.0,0.0,0.0
0.16279069767441862,0.0,0.0,0.0,0.0
0.18604651162790697,0.0,0.0,0.0,0.0
0.20930232558139533,0.0,0.0,0.0,0.0
0.23255813953488372,0.0,0.0,0.0,0.0
0.2558139534883721,0.0,0.0,0.0,0.0
0.27906976744186046,0.0,0.0,0.0,0.0
0.3023255813953488,0.0,0.0,0.0,0.0
0.32558139534883723,0.0,0.0,0.0,0.0
0.3488372093023256,0.0,0.0,0.0,0.0
0.37209302325581395,0.0,0.0,0.0,0.0
0.3953488372093023,0.0,0.0,0.0,0.0
0.41860465116279066,0.0,0.0,0.0,0.0
0.4418604651162791,0.0,0.0,0.0,0.0
0.46511627906976744,0.0,0.0,0.0,0.0
0.4883720930232558,0.0,0.0,0.0,0.0
0.5116279069767442,0.0,0.0,0.0,0.0
0.5348837209302325,0.0,0.0,0.0,0.0
0.5581395348837209,0.0,0.0,0.0,0.0
0.5813953488372093,0.0,0.0,0.0,0.0
0.6046511627906976,0.0,0.0,0.0,0.0
0.627906976744186,0.0,0.0,0.0,0.0
0.6511627906976745,0.0,0.0,0.0,0.0
0.6744186046511628,0.0,0.0,0.0,0.0
0.6976744186046512,0.0,0.0,0.0,0.0
0.7209302325581395,0.0,0.0,0.0,0.0
0.7441860465116279,0.0,0.0,0.0,0.0
0.7674418604651163,0.0,0.0,0.0,0.0
0.7906976744186046,0.0,0.0,0.0,0.0
0.813953488372093,0.0,0.0,0.0,0.0
0.8372093023255813,0.0,0.0,0.0,0.0
0.8604651162790697,0.0,0.0,0.0,0.0
0.8837209302325582,0.0,0.0,0.0,0.0
0.9069767441860465,0.0,0.0,0.0,0.0
0.9302325581395349,0.0,0.0,0.0,0.0
0.9534883720930233,0.0,0.0,0.0,0.0
0.9767441860465116,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.2922411770781203,0.0,0.043478260869565216,-0.043478260869565216
0.023255813953488372,0.2922411770781203,0.0,0.0,0.0
0.046511627906976744,0.2922411770781203,0.0,0.0,0.0
0.06976744186046512,0.2922411770781203,0.0,0.0,0.0
0.09302325581395349,0.2922411770781203,0.0,0.0,0.0
0.11627906976744186,0.2922411770781203,0.0,0.0,0.0
0.13953488372093023,0.2922411770781203,0.0,0.0,0.0
0.16279069767441862,0.2922411770781203,0.0,0.0,0.0
0.18604651162790697,0.2922411770781203,0.0,0.0,0.0
0.20930232558139533,0.2922411770781203,0.0,0.0,0.0
0.23255813953488372,0.2922411770781203,0.0,0.0,0.0
0.2558139534883721,0.2922411770781203,0.0,0.0,0.0
0.27906976744186046,0.2922411770781203,0.0,0.0,0.0
0.3023255813953488,0.2922411770781203,0.0,0.0,0.0
0.32558139534883723,0.2922411770781203,0.0,0.0,0.0
0.3488372093023256,0.2922411770781203,0.0,0.0,0.0
0.37209302325581395,0.2922411770781203,0.0,0.0,0.0
0.3953488372093023,0.2922411770781203,0.0,0.0,0.0
0.41860465116279066,0.2922411770781203,0.0,0.0,0.0
0.4418604651162791,0.2922411770781203,0.0,0.0,0.0
0.46511627906976744,0.2922411770781203,0.0,0.0,0.0
0.4883720930232558,0.2922411770781203,0.0,0.0,0.0
0.5116279069767442,0.2922411770781203,0.0,0.0,0.0
0.5348837209302325,0.2922411770781203,0.0,0.0,0.0
0.5581395348837209,0.2922411770781203,0.0,0.0,0.0
0.5813953488372093,0.2922411770781203,0.0,0.0,0.0
0.6046511627906976,0.2922411770781203,0.0,0.0,0.0
0.627906976744186,0.2922411770781203,0.0,0.0,0.0
0.6511627906976745,0.2922411770781203,0.0,0.0,0.0
0.6744186046511628,0.2922411770781203,0.0,0.0,0.0
0.6976744186046512,0.2922411770781203,0.0,0.0,0.0
0.7209302325581395,0.2922411770781203,0.0,0.0,0.0
0.7441860465116279,0.2922411770781203,0.0,0.0,0.0
0.7674418604651163,0.2922411770781203,0.0,0.0,0.0
0.7906976744186046,0.2922411770781203,0.0,0.0,0.0
0.813953488372093,0.2922411770781203,0.0,0.0,0.0
0.8372093023255813,0.2922411770781203,0.0,0.0,0.0
0.8604651162790697,0.2922411770781203,0.0,0.0,0.0
0.8837209302325582,0.2922411770781203,0.0,0.0,0.0
0.9069767441860465,0.2922411770781203,0.0,0.0,0.0
0.9302325581395349,0.2922411770781203,0.0,0.0,0.0
0.9534883720930233,0.2922411770781203,0.0,0.0,0.0
0.9767441860465116,0.2922411770781203,0.021739130434782608,0.0,0.021739130434782608
1.0,0.2922411770781203,0.0,0.043478260869565216,-0.043478260869565216
0.0,0.5844823541562406,0.8913043478260869,0.782608695652174,0.10869565217391297
0.023255813953488372,0.5844823541562406,0.7608695652173914,0.6739130434782609,0.08695652173913049
0.046511627906976744,0.5844823541562406,0.41304347826086957,0.32608695652173914,0.08695652173913043
0.06976744186046512,0.5844823541562406,0.021739130434782608,0.021739130434782608,0.0
0.09302325581395349,0.5844823541562406,0.0,0.0,0.0
0.11627906976744186,0.5844823541562406,0.0,0.0,0.0
0.13953488372093023,0.5844823541562406,0.0,0.0,0.0
0.16279069767441862,0.5844823541562406,0.0,0.0,0.0
0.18604651162790697,0.5844823541562406,0.0,0.0,0.0
0.20930232558139533,0.5844823541562406,0.0,0.0,0.0
0.23255813953488372,0.5844823541562406,0.0,0.0,0.0
0.2558139534883721,0.5844823541562406,0.0,0.0,0.0
0.27906976744186046,0.5844823541562406,0.0,0.0,0.0
0.3023255813953488,0.5844823541562406,0.0,0.0,0.0
0.32558139534883723,0.5844823541562406,0.0,0.0,0.0
0.3488372093023256,0.5844823541562406,0.0,0.0,0.0
0.37209302325581395,0.5844823541562406,0.0,0.0,0.0
0.3953488372093023,0.5844823541562406,0.0,0.0,0.0
0.41860465116279066,0.5844823541562406,0.0,0.0,0.0
0.4418604651162791,0.5844823541562406,0.0,0.0,0.0
0.46511627906976744,0.5844823541562406,0.0,0.0,0.0
0.4883720930232558,0.5844823541562406,0.0,0.0,0.0
0.5116279069767442,0.5844823541562406,0.0,0.0,0.0
0.5348837209302325,0.5844823541562406,0.0,0.0,0.0
0.5581395348837209,0.5844823541562406,0.0,0.0,0.0
0.5813953488372093,0.5844823541562406,0.0,0.0,0.0
0.6046511627906976,0.5844823541562406,0.0,0.0,0.0
0.627906976744186,0.5844823541562406,0.0,0.0,0.0
0.6511627906976745,0.5844823541562406,0.0,0.0,0.0
0.6744186046511628,0.5844823541562406,0.0,0.0,0.0
0.6976744186046512,0.5844823541562406,0.0,0.0,0.0
0.7209302325581395,0.5844823541562406,0.0,0.0,0.0
0.7441860465116279,0.5844823541562406,0.0,0.0,0.0
0.7674418604651163,0.5844823541562406,0.0,0.0,0.0
0.7906976744186046,0.5844823541562406,0.0,0.0,0.0
0.813953488372093,0.5844823541562406,0.0,0.0,0.0
0.8372093023255813,0.5844823541562406,0.0,0.0,0.0
0.8604651162790697,0.5844823541562406,0.0,0.0,0.0
0.8837209302325582,0.5844823541562406,0.0,0.0,0.0
0.9069767441860465,0.5844823541562406,0.0,0.0,0.0
0.9302325581395349,0.5844823541562406,0.021739130434782608,0.021739130434782608,0.0
0.9534883720930233,0.5844823541562406,0.3695652173913043,0.32608695652173914,0.04347826086956519
0.9767441860465116,0.5844823541562406,0.8913043478260869,0.6739130434782609,0.21739130434782605
